"submission_date","created_at","date_diff"
"12/14/2020","03/11/2022 01:59:22 PM",-452
"12/15/2020","03/11/2022 01:59:22 PM",-451
"12/16/2020","03/11/2022 01:59:22 PM",-450
"12/17/2020","03/11/2022 01:59:22 PM",-449
"12/18/2020","03/11/2022 01:59:22 PM",-448
"12/19/2020","03/11/2022 01:59:22 PM",-447
"12/20/2020","03/11/2022 01:59:22 PM",-446
"12/21/2020","03/11/2022 01:59:22 PM",-445
"12/22/2020","03/11/2022 01:59:22 PM",-444
"12/23/2020","03/11/2022 01:59:22 PM",-443
"12/24/2020","03/11/2022 01:59:22 PM",-442
"12/25/2020","03/11/2022 01:59:22 PM",-441
"12/26/2020","03/11/2022 01:59:22 PM",-440
"12/27/2020","03/11/2022 01:59:22 PM",-439
"12/28/2020","03/11/2022 01:59:22 PM",-438
"12/29/2020","03/11/2022 01:59:22 PM",-437
"12/30/2020","03/11/2022 01:59:22 PM",-436
"12/31/2020","03/11/2022 01:59:22 PM",-435
"01/01/2021","03/11/2022 01:59:22 PM",-434
"01/02/2021","03/11/2022 01:59:22 PM",-433
"01/03/2021","03/11/2022 01:59:22 PM",-432
"01/04/2021","03/11/2022 01:59:22 PM",-431
"01/05/2021","03/11/2022 01:59:22 PM",-430
"01/06/2021","03/11/2022 01:59:22 PM",-429
"01/07/2021","03/11/2022 01:59:22 PM",-428
"01/08/2021","03/11/2022 01:59:22 PM",-427
"01/09/2021","03/11/2022 01:59:22 PM",-426
"01/10/2021","03/11/2022 01:59:22 PM",-425
"01/11/2021","03/11/2022 01:59:22 PM",-424
"01/12/2021","03/11/2022 01:59:22 PM",-423
"01/13/2021","03/11/2022 01:59:22 PM",-422
"01/14/2021","03/11/2022 01:59:22 PM",-421
"01/15/2021","03/11/2022 01:59:22 PM",-420
"01/16/2021","03/11/2022 01:59:22 PM",-419
"01/17/2021","03/11/2022 01:59:22 PM",-418
"01/18/2021","03/11/2022 01:59:22 PM",-417
"01/19/2021","03/11/2022 01:59:22 PM",-416
"01/20/2021","03/11/2022 01:59:22 PM",-415
"01/21/2021","03/11/2022 01:59:22 PM",-414
"01/22/2021","03/11/2022 01:59:22 PM",-413
"01/23/2021","03/11/2022 01:59:22 PM",-412
"01/24/2021","03/11/2022 01:59:22 PM",-411
"01/25/2021","03/11/2022 01:59:22 PM",-410
"01/26/2021","03/11/2022 01:59:22 PM",-409
"01/27/2021","03/11/2022 01:59:22 PM",-408
"01/28/2021","03/11/2022 01:59:22 PM",-407
"01/29/2021","03/11/2022 01:59:22 PM",-406
"01/30/2021","03/11/2022 01:59:22 PM",-405
"01/31/2021","03/11/2022 01:59:22 PM",-404
"02/01/2021","03/11/2022 01:59:22 PM",-403
"02/02/2021","03/11/2022 01:59:22 PM",-402
"02/03/2021","03/11/2022 01:59:22 PM",-401
"02/04/2021","03/11/2022 01:59:22 PM",-400
"02/05/2021","03/11/2022 01:59:22 PM",-399
"02/06/2021","03/11/2022 01:59:22 PM",-398
"02/07/2021","03/11/2022 01:59:22 PM",-397
"02/08/2021","03/11/2022 01:59:22 PM",-396
"02/09/2021","03/11/2022 01:59:22 PM",-395
"02/10/2021","03/11/2022 01:59:22 PM",-394
"02/11/2021","03/11/2022 01:59:22 PM",-393
"02/12/2021","03/11/2022 01:59:22 PM",-392
"02/13/2021","03/11/2022 01:59:22 PM",-391
"02/14/2021","03/11/2022 01:59:22 PM",-390
"02/15/2021","03/11/2022 01:59:22 PM",-389
"02/16/2021","03/11/2022 01:59:22 PM",-388
"02/17/2021","03/11/2022 01:59:22 PM",-387
"02/18/2021","03/11/2022 01:59:22 PM",-386
"02/19/2021","03/11/2022 01:59:22 PM",-385
"02/20/2021","03/11/2022 01:59:22 PM",-384
"02/21/2021","03/11/2022 01:59:22 PM",-383
"02/22/2021","03/11/2022 01:59:22 PM",-382
"02/23/2021","03/11/2022 01:59:22 PM",-381
"02/24/2021","03/11/2022 01:59:22 PM",-380
"02/25/2021","03/11/2022 01:59:22 PM",-379
"02/26/2021","03/11/2022 01:59:22 PM",-378
"02/27/2021","03/11/2022 01:59:22 PM",-377
"02/28/2021","03/11/2022 01:59:22 PM",-376
"03/01/2021","03/11/2022 01:59:22 PM",-375
"03/02/2021","03/11/2022 01:59:22 PM",-374
"03/03/2021","03/11/2022 01:59:22 PM",-373
"03/04/2021","03/11/2022 01:59:22 PM",-372
"03/05/2021","03/11/2022 01:59:22 PM",-371
"04/23/2020","04/29/2021 01:16:34 PM",-371
"04/24/2020","04/29/2021 01:16:34 PM",-370
"03/06/2021","03/11/2022 01:59:22 PM",-370
"04/25/2020","04/29/2021 01:16:34 PM",-369
"03/07/2021","03/11/2022 01:59:22 PM",-369
"03/08/2021","03/11/2022 01:59:22 PM",-368
"04/26/2020","04/29/2021 01:16:34 PM",-368
"04/27/2020","04/29/2021 01:16:34 PM",-367
"03/09/2021","03/11/2022 01:59:22 PM",-367
"03/10/2021","03/11/2022 01:59:22 PM",-366
"03/11/2021","03/11/2022 01:59:22 PM",-365
"03/12/2021","03/11/2022 01:59:22 PM",-364
"03/13/2021","03/11/2022 01:59:22 PM",-363
"03/14/2021","03/11/2022 01:59:22 PM",-362
